application_id,applicant_name,email,phone,university,department,cgpa,submission_time,submission_hour,ip_address,device_type,time_to_fill_sec,resume_similarity_score,is_duplicate_email,is_duplicate_phone,apps_from_same_ip_1hr,email_domain_type,label
APP00329,Wendy Perez,gail02434@live.com,336850369,COMSATS,Business Administration,2.41,18/03/2024 18:33,18,106.77.179.92,Mobile,758,0.056,FALSE,FALSE,1,legit,normal
APP00689,Tina Perez,erica68445@yahoo.com,301098097,University of Karachi,Computer Science,2.03,16/06/2024 15:29,15,13.71.43.90,Mobile,828,0.362,FALSE,FALSE,1,legit,normal
APP00414,Cassandra Hines,garciatravis103@hotmail.com,319528589,University of Karachi,Mechanical Engineering,2.64,20/05/2024 17:44,17,161.51.224.138,Desktop,820,0.088,FALSE,FALSE,1,legit,normal
APP00789,Joyce Yu,svasquez335@hotmail.com,339132910,COMSATS,Computer Science,2.16,17/06/2024 11:45,11,5.242.154.199,Mobile,568,0.451,FALSE,FALSE,1,legit,normal
APP00245,Michael Baxter,bridgetsmith541@lums.edu.pk,327520284,NED University,Electrical Engineering,3.12,30/03/2024 13:54,13,113.19.107.37,Desktop,588,0.448,FALSE,FALSE,1,university,normal
APP00760,Steven Mcdonald,mroy372@gmail.com,302237003,Quaid-i-Azam University,Computer Science,3.05,06/02/2024 12:28,12,177.223.26.166,Desktop,319,0.502,FALSE,FALSE,1,legit,normal
APP00097,Philip Sanchez,uholt991@nust.edu.pk,322515030,GIK Institute,Electrical Engineering,2.03,17/05/2024 9:29,9,106.66.60.131,Desktop,497,0.37,FALSE,FALSE,1,university,normal
APP00606,Christopher Hampton,davismary524@uet.edu.pk,307057663,University of Karachi,Software Engineering,3.36,19/04/2024 13:24,13,178.245.79.20,Mobile,501,0.19,FALSE,FALSE,1,university,normal
APP00735,Justin Tucker,moorezachary985@lums.edu.pk,323808198,FAST NUCES,Computer Science,3.77,03/05/2024 12:38,12,140.149.222.42,Desktop,376,0.209,FALSE,FALSE,1,university,normal
APP00102,Steven Case,sstewart876@outlook.com,322666893,SZABIST,Business Administration,3.03,14/06/2024 13:03,13,131.84.96.106,Mobile,527,0.533,FALSE,FALSE,1,legit,normal
